2.33;ΓΕΝΙΚΗ ΤΟΠΟΛΟΓΙΑ;GENERAL TOPOLOGY
2.34;ΑΛΓΕΒΡΙΚΗ ΤΟΠΟΛΟΓΙΑ;ALGEBRAIC TOPOLOGY
2.35;ΘΕΩΡΙΑ ΠΙΘΑΝΟΤΗΤΩΝ ΚΑΙ ΣΤΟΧΑΣΤΙΚΕΣ ΔΙΑΔΙΚΑΣΙΕΣ;PROBABILITY THEORY AND STOCHASTIC PROCESSES
2.36;ΣΤΑΤΙΣΤΙΚΗ;STATISTICS
2.37;ΑΡΙΘΜΗΤΙΚΗ ΑΝΑΛΥΣΗ;NUMERICAL ANALYSIS
2.38;ΕΠΙΧΕΙΡΗΣΙΑΚΗ ΕΡΕΥΝΑ, ΜΑΘΗΜΑΤΙΚΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ;OPERATIONS RESEARCH, MATHEMATICAL PROGRAMMING
2.39;ΜΑΘΗΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ (ΔΙΔΑΚΤΙΚΗ ΜΑΘΗΜΑΤΙΚΩΝ);MATHEMATICS EDUCATION
2.99;ΑΛΛΕΣ ΜΑΘΗΜΑΤΙΚΕΣ ΕΙΔΙΚΟΤΗΤΕΣ;OTHER MATHEMATICAL SPECIALTIES
3.1;ΘΕΩΡΙΑ ΥΠΟΛΟΓΙΣΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ;THEORETICAL COMPUTER SCIENCE
3.2;ΛΟΓΙΣΜΙΚΟ;SOFTWARE
3.3;ΥΛΙΚΟ - ΤΕΧΝΟΛΟΓΙΕΣ ΥΠΟΛΟΓΙΣΤΩΝ;HARDWARE - COMPUTER TECHNOLOGIES
3.4;ΣΥΣΤΗΜΑΤΑ;SYSTEMS
3.5;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ARTIFICIAL INTELLIGENCE
3.99;ΑΛΛΕΣ ΕΙΔΙΚΟΤΗΤΕΣ ΤΗΣ ΠΛΗΡΟΦΟΡΙΚΗΣ;OTHER COMPUTER SCIENCE SPECIALTIES
4.1;ΒΑΣΙΚΗ ΑΣΤΡΟΝΟΜΙΑ ΚΑΙ ΑΣΤΡΟΦΥΣΙΚΗ;FUNDAMENTAL ASTRONOMY AND ASTROPHYSICS
4.2;ΚΟΣΜΟΛΟΓΙΑ ΚΑΙ ΣΚΟΤΕΙΝΗ ΥΛΗ;COSMOLOGY AND DARK MATTER
4.3;ΟΜΑΔΕΣ ΓΑΛΑΞΙΩΝ, ΣΜΗΝΗ ΚΑΙ ΥΠΕΡΣΜΗΝΗ. ΔΟΜΗ ΤΟΥ ΣΥΜΠΑΝΤΟΣ;"GALAXY GROUPS, CLUSTERS, AND SUPERCLUSTERS, STRUCTURE OF THE UNIVERSE"
4.4;ΔΟΜΗ ΤΟΥ ΓΑΛΑΞΙΑ, ΑΣΤΡΙΚΑ ΣΜΗΝΗ ΚΑΙ ΠΛΗΘΥΣΜΟΙ;GALACTIC STRUCTURE, STELLAR CLUSTERS AND POPULATIONS
4.5;ΔΙΑΣΤΡΙΚΗ ΥΛΗ, ΑΣΤΡΙΚΗ ΔΟΜΗ ΚΑΙ ΕΞΕΛΙΞΗ;INTERSTELLAR MATTER, STELLAR STRUCTURE AND EVOLUTION
